"","cik","company.name"
"1","1318605","TSLA"
"2","1000209","MEDALLION FINANCIAL CORP"
"3","1000228","HENRY SCHEIN INC"
"4","1003201","MMA Capital Holdings  Inc "
"5","100517","United Continental Holdings  Inc "
"6","1011659","MUFG Americas Holdings Corp"
"7","1013880","TTEC Holdings  Inc "
"8","104889","Graham Holdings Co"
"9","1069996","FedNat Holding Co"
"10","1075531","Booking Holdings Inc "
"11","1082324","VirnetX Holding Corp"
"12","1083446","Apollo Medical Holdings  Inc "
"13","1089819","Cleco Corporate Holdings LLC"
"14","1089907","SWK Holdings Corp"
"15","1091748","Argo Group International Holdings  Ltd "
"16","109177","Spectrum Brands Holdings  Inc "
"17","1096275","Franchise Holdings International  Inc "
"18","1103833","Crown Equity Holdings  Inc "
"19","1106838","Chanticleer Holdings  Inc "
"20","1114483","Integer Holdings Corp"
"21","1132509","Eason Education Kingdom Holdings  Inc "
"22","1133798","TX Holdings  Inc "
"23","1134765","True Drinks Holdings  Inc "
"24","1173313","American BriVision  Holding  Corp"
"25","1178727","DRONE AVIATION HOLDING CORP "
"26","1237746","Endurance International Group Holdings  Inc "
"27","1265131","Hilltop Holdings Inc "
"28","1274032","Cool Holdings  Inc "
"29","1275014","Ultra Clean Holdings  Inc "
"30","1279715","Wright Investors Service Holdings  Inc "
"31","1288855","OptimumBank Holdings  Inc "
"32","1289945","Spok Holdings  Inc"
"33","1293971","bluebird bio  Inc "
"34","1297989","ExlService Holdings  Inc "
"35","1299969","Comstock Holding Companies  Inc "
"36","1304421","Consolidated Communications Holdings  Inc "
"37","1309057","China Health Industries Holdings  Inc "
"38","1310630","Trafalgar Resources  Inc "
"39","1315257","Koppers Holdings Inc "
"40","1317630","ITC Holdings Corp "
"41","1318568","Everi Holdings Inc "
"42","1320461","Cooper Standard Holdings Inc "
"43","1324404","CF Industries Holdings  Inc "
"44","1326771","Federal Home Loan Bank of Cincinnati"
"45","1333519","Baying Ecological Holding Group Inc "
"46","1334978","Clear Channel Outdoor Holdings  Inc "
"47","1336920","Leidos Holdings  Inc "
"48","1337013","InfuSystem Holdings  Inc"
"49","1341766","Celsius Holdings  Inc "
"50","1343465","Sun Pacific Holding Corp "
"51","1345122","Compass Group Diversified Holdings LLC"
"52","1345126","Compass Diversified Holdings"
"53","1350420","Lincolnway Energy  LLC"
"54","1350653","Alphatec Holdings  Inc "
"55","1353406","RedHawk Holdings Corp "
"56","1357671","Jerrick Media Holdings  Inc "
"57","1361025","DCP Holding CO"
"58","1364099","Innophos Holdings  Inc "
"59","1364885","Spirit AeroSystems Holdings  Inc "
"60","1378718","Wesco Aircraft Holdings  Inc"
"61","1379041","Employers Holdings  Inc "
"62","1380846","TriState Capital Holdings  Inc "
"63","1385280","Cinemark Holdings  Inc "
"64","1385292","Monotype Imaging Holdings Inc "
"65","1390844","WABCO Holdings Inc "
"66","1392694","Surge Holdings  Inc "
"67","1392972","PROS Holdings  Inc "
"68","1394156","Diversified Restaurant Holdings  Inc "
"69","1396033","Lumber Liquidators Holdings  Inc "
"70","1397016","Optex Systems Holdings Inc"
"71","1397187","lululemon athletica inc "
"72","1399855","National American University Holdings  Inc "
"73","1399935","Francescas Holdings CORP"
"74","1400683","STWC  Holdings  Inc "
"75","1402829","Orion Group Holdings Inc"
"76","1404624","Affinion Group Holdings  Inc "
"77","1408100","Kennedy Wilson Holdings  Inc "
"78","1410384","Q2 Holdings  Inc "
"79","1410939","IVERIC bio  Inc "
"80","1410939","Ophthotech Corp "
