"","cik","company.name"
"1","1591890","1347 Property Insurance Holdings  Inc "
"2","1599407","1847 Holdings LLC"
"3","1702015","AIS Holdings Group  Inc "
"4","1584423","APX Group Holdings  Inc "
"5","907654","ARCA biopharma  Inc "
"6","1591387","ATI Nationwide Holding Corp "
"7","1672013","Acushnet Holdings Corp "
"8","1404624","Affinion Group Holdings  Inc "
"9","1650739","Ajia Innogroup Holdings  Ltd "
"10","1459200","Alarm com Holdings  Inc "
"11","1559998","Algodon Group  Inc "
"12","1411207","Allison Transmission Holdings Inc"
"13","1693687","AllyMe Holding Inc "
"14","1350653","Alphatec Holdings  Inc "
"15","1518403","Alta Mesa Holdings  LP"
"16","1173313","American BriVision  Holding  Corp"
"17","1498068","American Renal Associates Holdings  Inc "
"18","1681282","Anvia Holdings Corp"
"19","1083446","Apollo Medical Holdings  Inc "
"20","1422841","AquaVenture Holdings Ltd"
"21","1447028","Arbutus Biopharma Corp"
"22","1091748","Argo Group International Holdings  Ltd "
"23","1527469","Athene Holding Ltd"
"24","1464343","Atlanticus Holdings Corp"
"25","1418100","Avaya Holdings Corp "
"26","1531152","BJs Wholesale Club Holdings  Inc "
"27","1440153","Bakhu Holdings  Corp "
"28","1333519","Baying Ecological Holding Group Inc "
"29","1568139","Bio En Holdings Corp "
"30","1689813","Biohaven Pharmaceutical Holding Co Ltd "
"31","1614826","Blockchain Holdings Capital Ventures  Inc "
"32","1701114","Blue Apron Holdings  Inc "
"33","1582086","Blue Capital Reinsurance Holdings Ltd "
"34","1075531","Booking Holdings Inc "
"35","1610250","Boot Barn Holdings  Inc "
"36","1443646","Booz Allen Hamilton Holding Corp"
"37","1574291","CC Holdings GS V LLC"
"38","1324404","CF Industries Holdings  Inc "
"39","1522222","CLS Holdings USA  Inc "
"40","1713539","CM Seven Star Acquisition Corp"
"41","1752836","COVETRUS  INC "
"42","1711291","CURO Group Holdings Corp "
"43","1669779","Camping World Holdings  Inc "
"44","1509957","Canbiola  Inc "
"45","1704720","Cannae Holdings  Inc "
"46","1672909","Canterbury Park Holding Corp"
"47","1676479","CapStar Financial Holdings  Inc "
"48","1530721","Capri Holdings Ltd"
"49","1678105","Caro Holdings Inc "
"50","1341766","Celsius Holdings  Inc "
"51","1106838","Chanticleer Holdings  Inc "
"52","1693317","Cheniere Corpus Christi Holdings  LLC"
"53","1309057","China Health Industries Holdings  Inc "
"54","1499785","China Herb Group Holdings Corp"
"55","1376321","ChinaNet Online Holdings  Inc "
"56","1635484","Cincinnati Bancorp"
"57","1385280","Cinemark Holdings  Inc "
"58","1334978","Clear Channel Outdoor Holdings  Inc "
"59","1089819","Cleco Corporate Holdings LLC"
"60","1517228","CommScope Holding Company  Inc "
"61","1345126","Compass Diversified Holdings"
"62","1345122","Compass Group Diversified Holdings LLC"
"63","1299969","Comstock Holding Companies  Inc "
"64","1502292","Conifer Holdings  Inc "
"65","1304421","Consolidated Communications Holdings  Inc "
"66","1274032","Cool Holdings  Inc "
"67","1320461","Cooper Standard Holdings Inc "
"68","1595097","Corbus Pharmaceuticals Holdings  Inc "
"69","1582244","Corning Natural Gas Holding Corp"
"70","1706509","Cosmos Group Holdings Inc "
"71","1474167","Cosmos Holdings Inc "
"72","1103833","Crown Equity Holdings  Inc "
"73","1645460","Cue Biopharma  Inc "
"74","1643301","Cure Pharmaceutical Holding Corp "
"75","1361025","DCP Holding CO"
"76","1643194","DDs Deluxe Rod Holder  Inc "
"77","1178727","DRONE AVIATION HOLDING CORP "
"78","1694426","Delek US Holdings  Inc "
"79","1514226","Delta Tucker Holdings  Inc "
"80","1492448","Discovery Gold Corp"
"81","1394156","Diversified Restaurant Holdings  Inc "
"82","1603291","Dominion Energy Gas Holdings  LLC"
"83","1570279","Double Down Holdings Inc "
"84","1450973","EFT Holdings  Inc "
"85","1420031","EMMAUS LIFE SCIENCES  INC "
