"","cik","company.name"
"1",1591890,"1347 Property Insurance Holdings  Inc "
"2",1599407,"1847 Holdings LLC"
"3",1141807,"1ST CONSTITUTION BANCORP"
"4",786947,"ACURA PHARMACEUTICALS  INC"
"5",1513525,"ADIAL PHARMACEUTICALS  INC "
"6",1702015,"AIS Holdings Group  Inc "
"7",46129,"ALLIED MOTION TECHNOLOGIES INC"
"8",890821,"AMERI Holdings  Inc "
"9",1053507,"AMERICAN TOWER CORP  MA "
"10",1554054,"AMPERICO CORP"
"11",1584423,"APX Group Holdings  Inc "
"12",907654,"ARCA biopharma  Inc "
"13",894405,"ARCBEST CORP  DE "
"14",1267395,"ASPEN INSURANCE HOLDINGS LTD"
"15",1690881,"ASV HOLDINGS  INC "
"16",1591387,"ATI Nationwide Holding Corp "
"17",879585,"ATN International  Inc "
"18",1352952,"Accelerize Inc "
"19",1467373,"Accenture plc"
"20",1672013,"Acushnet Holdings Corp "
"21",1636282,"Aeglea BioTherapeutics  Inc "
"22",1404624,"Affinion Group Holdings  Inc "
"23",1650739,"Ajia Innogroup Holdings  Ltd "
"24",1459200,"Alarm com Holdings  Inc "
"25",1411207,"Allison Transmission Holdings Inc"
"26",1693687,"AllyMe Holding Inc "
"27",1350653,"Alphatec Holdings  Inc "
"28",1518403,"Alta Mesa Holdings  LP"
"29",1173313,"American BriVision  Holding  Corp"
"30",1568162,"American Finance Trust  Inc"
"31",1498068,"American Renal Associates Holdings  Inc "
"32",1518461,"AmpliTech Group  Inc "
"33",1681282,"Anvia Holdings Corp"
"34",1083446,"Apollo Medical Holdings  Inc "
"35",882361,"Aptose Biosciences Inc "
"36",1422841,"AquaVenture Holdings Ltd"
"37",1447028,"Arbutus Biopharma Corp"
"38",1091748,"Argo Group International Holdings  Ltd "
"39",1527469,"Athene Holding Ltd"
"40",1461755,"Atlantic Capital Bancshares  Inc "
"41",1464343,"Atlanticus Holdings Corp"
"42",1418100,"Avaya Holdings Corp "
"43",902791,"BARRETT BUSINESS SERVICES INC"
"44",1531152,"BJs Wholesale Club Holdings  Inc "
"45",1440153,"Bakhu Holdings  Corp "
"46",1333519,"Baying Ecological Holding Group Inc "
"47",1568139,"Bio En Holdings Corp "
"48",1508381,"Bionik Laboratories Corp "
"49",1614826,"Blockchain Holdings Capital Ventures  Inc "
"50",1701114,"Blue Apron Holdings  Inc "
"51",1582086,"Blue Capital Reinsurance Holdings Ltd "
"52",1075531,"Booking Holdings Inc "
"53",1610250,"Boot Barn Holdings  Inc "
"54",1443646,"Booz Allen Hamilton Holding Corp"
"55",1624512,"Boxlight Corp"
"56",1388430,"CAI International  Inc "
"57",916457,"CALPINE CORP"
"58",1040593,"CARRIZO OIL   GAS INC"
"59",1574291,"CC Holdings GS V LLC"
"60",1209709,"CERES TACTICAL SYSTEMATIC L P "
"61",1324404,"CF Industries Holdings  Inc "
"62",858877,"CISCO SYSTEMS  INC "
"63",1522222,"CLS Holdings USA  Inc "
"64",1713539,"CM Seven Star Acquisition Corp"
"65",723188,"COMMUNITY BANK SYSTEM  INC "
"66",1088856,"CORCEPT THERAPEUTICS INC"
"67",1026655,"CORE MOLDING TECHNOLOGIES INC"
"68",1752836,"COVETRUS  INC "
"69",891293,"CTI BIOPHARMA CORP"
"70",1711291,"CURO Group Holdings Corp "
"71",1669779,"Camping World Holdings  Inc "
"72",1509957,"Canbiola  Inc "
"73",1704720,"Cannae Holdings  Inc "
"74",1672909,"Canterbury Park Holding Corp"
"75",1676479,"CapStar Financial Holdings  Inc "
"76",1530721,"Capri Holdings Ltd"
"77",1217234,"CareDx  Inc "
"78",1024095,"Carnegie Development  Inc"
"79",1678105,"Caro Holdings Inc "
"80",1341766,"Celsius Holdings  Inc "
"81",1106838,"Chanticleer Holdings  Inc "
"82",1693317,"Cheniere Corpus Christi Holdings  LLC"
"83",1310630,"China Foods Holdings Ltd "
